NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
486,448,72,170
480,447,70,167
467,448,59,139
451,446,63,146
435,446,69,160
418,445,73,165
398,444,78,169
397,444,66,137
378,446,64,131
354,449,63,129
342,451,66,127
320,455,64,122
303,457,79,152
297,458,85,161
286,458,85,166
266,456,90,170
250,455,93,173
239,459,89,164
227,467,91,165
225,470,86,156
200,471,83,144
185,471,79,136
170,464,90,156
162,463,85,145
141,463,90,157
135,463,89,161
136,465,82,145
119,468,105,189
98,473,105,196
84,474,108,201
NaN
NaN
51,494,105,186
30,502,109,185
18,510,107,176
10,514,107,174
15,517,96,153
17,517,93,144
9,518,98,151
2,516,105,162
14,516,93,143
4,513,106,166
11,515,98,151
10,516,99,153
10,516,101,155
8,517,102,155
6,517,106,161
14,515,100,153
17,514,98,149
19,513,97,148
13,510,102,157
16,507,103,162
20,505,103,164
22,503,103,167
23,500,105,171
24,498,104,173
28,497,105,177
40,495,102,176
48,493,100,180
54,492,98,182
58,490,96,183
60,491,94,183
63,489,93,184
68,486,95,185
71,486,93,183
74,488,89,178
82,495,80,158
86,497,76,151
92,499,74,145
100,498,73,147
104,493,74,151
105,490,75,153
106,491,73,151
106,492,72,150
106,490,71,152
105,490,73,156
102,484,76,165
101,481,76,168
100,477,73,166
100,476,71,164
101,475,68,159
102,474,66,156
104,471,66,156
105,469,67,158
107,465,69,163
107,463,71,166
107,461,71,165
104,458,72,166
101,453,73,170
99,451,72,169
96,445,71,169
95,443,70,169
92,440,69,167
89,437,68,168
87,434,68,168
87,433,66,167
86,432,66,167
86,432,65,167
85,433,65,167
84,434,64,167
80,435,65,167
80,438,63,163
78,438,63,160
78,438,62,159
77,438,62,158
76,438,63,158
75,438,64,156
75,438,64,153
73,435,68,156
72,434,70,157
71,434,71,157
67,432,74,159
65,431,75,160
65,432,75,159
64,430,76,162
63,429,78,164
65,429,77,165
67,428,77,166
71,429,74,164
80,428,71,165
80,427,72,166
NaN
89,429,69,164
95,429,66,163
102,430,67,162
108,433,66,160
112,436,66,156
112,437,68,156
113,436,70,157
114,436,71,158
114,435,72,159
114,434,74,161
116,433,75,163
